Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,August 2013,$240K,-4.0%,14.8%,20,5.3%,53.8%,22,-12.0%,57.1%,13,-7.1%,-13.3%,18,9,-11,106.9%,-0.9%,6.5%
,September 2013,$227K,-5.4%,13.8%,16,-20.0%,60.0%,16,-27.3%,0.0%,13,0.0%,-7.1%,27,9,4,103.4%,-3.5%,4.1%
,October 2013,$212K,-6.4%,-2.1%,14,-12.5%,40.0%,18,12.5%,50.0%,17,30.8%,41.7%,27,0,-14,99.7%,-3.8%,0.7%
,November 2013,$201K,-5.4%,-4.3%,12,-14.3%,20.0%,14,-22.2%,16.7%,14,-17.6%,16.7%,17,-10,-51,99.0%,-0.6%,2.1%
,December 2013,$204K,1.3%,7.1%,12,0.0%,9.1%,14,0.0%,100.0%,13,-7.1%,18.2%,14,-3,-56,100.9%,1.9%,2.6%
,January 2014,$187K,-8.4%,9.7%,12,0.0%,20.0%,12,-14.3%,71.4%,12,-7.7%,33.3%,14,0,7,101.7%,0.7%,4.7%
,February 2014,$206K,10.6%,13.0%,15,25.0%,66.7%,11,-8.3%,0.0%,12,0.0%,20.0%,15,1,4,100.1%,-1.5%,1.7%
,March 2014,$206K,0.0%,-0.4%,13,-13.3%,30.0%,11,0.0%,-35.3%,11,-8.3%,-8.3%,25,10,14,99.0%,-1.1%,0.5%
,April 2014,$213K,3.0%,7.0%,11,-15.4%,-8.3%,13,18.2%,-31.6%,10,-9.1%,0.0%,25,0,-19,98.2%,-0.8%,-4.3%
,May 2014,$228K,7.3%,-0.3%,17,54.5%,41.7%,15,15.4%,-37.5%,6,-40.0%,-57.1%,39,14,31,99.1%,0.9%,-4.4%
,June 2014,$230K,0.9%,-0.2%,19,11.8%,0.0%,20,33.3%,-20.0%,12,100.0%,-20.0%,12,-27,3,99.1%,0.0%,-7.1%
,July 2014,$229K,-0.4%,-8.4%,19,0.0%,0.0%,19,-5.0%,-24.0%,14,16.7%,0.0%,11,-1,2,99.1%,0.0%,-8.7%
,August 2014,$223K,-2.6%,-7.1%,13,-31.6%,-35.0%,19,0.0%,-13.6%,11,-21.4%,-15.4%,14,3,-4,99.1%,-0.1%,-7.9%
,September 2014,$255K,14.3%,12.3%,13,0.0%,-18.8%,20,5.3%,25.0%,18,63.6%,38.5%,19,5,-8,99.6%,0.6%,-3.8%
,October 2014,$256K,0.4%,20.5%,14,7.7%,0.0%,24,20.0%,33.3%,13,-27.8%,-23.5%,17,-2,-10,99.8%,0.2%,0.1%
,November 2014,$256K,0.0%,27.4%,16,14.3%,33.3%,25,4.2%,78.6%,12,-7.7%,-14.3%,20,3,3,100.8%,1.0%,1.8%
,December 2014,$246K,-4.0%,20.7%,14,-12.5%,16.7%,19,-24.0%,35.7%,11,-8.3%,-15.4%,26,6,12,99.4%,-1.4%,-1.5%
,January 2015,$239K,-2.8%,28.1%,15,7.1%,25.0%,11,-42.1%,-8.3%,9,-18.2%,-25.0%,27,2,13,100.3%,0.8%,-1.4%
,February 2015,$253K,5.7%,22.4%,13,-13.3%,-13.3%,6,-45.5%,-45.5%,8,-11.1%,-33.3%,33,6,18,99.3%,-1.0%,-0.8%
,March 2015,$253K,0.2%,22.7%,17,30.8%,30.8%,9,50.0%,-18.2%,8,0.0%,-27.3%,33,0,8,102.3%,3.0%,3.2%
,April 2015,$267K,5.3%,25.4%,16,-5.9%,45.5%,12,33.3%,-7.7%,11,37.5%,10.0%,47,14,22,101.4%,-0.9%,3.1%
,May 2015,$216K,-19.0%,-5.3%,15,-6.3%,-11.8%,18,50.0%,20.0%,11,0.0%,83.3%,26,-21,-13,102.0%,0.7%,2.9%
,June 2015,$247K,14.5%,7.5%,18,20.0%,-5.3%,20,11.1%,0.0%,9,-18.2%,-25.0%,9,-18,-3,101.4%,-0.6%,2.3%
,July 2015,$260K,5.2%,13.5%,21,16.7%,10.5%,18,-10.0%,-5.3%,6,-33.3%,-57.1%,8,-1,-3,102.0%,0.6%,2.8%
,August 2015,$282K,8.5%,26.5%,22,4.8%,69.2%,19,5.6%,0.0%,8,33.3%,-27.3%,14,6,-1,101.2%,-0.8%,2.1%
,September 2015,$306K,8.5%,20.0%,17,-22.7%,30.8%,17,-10.5%,-15.0%,7,-12.5%,-61.1%,9,-5,-10,100.5%,-0.7%,0.8%
,October 2015,$303K,-1.1%,18.2%,16,-5.9%,14.3%,22,29.4%,-8.3%,9,28.6%,-30.8%,11,2,-7,100.2%,-0.3%,0.4%
,November 2015,$303K,0.0%,18.2%,14,-12.5%,-12.5%,19,-13.6%,-24.0%,7,-22.2%,-41.7%,7,-4,-13,101.9%,1.7%,1.1%
,December 2015,$304K,0.5%,23.7%,16,14.3%,14.3%,13,-31.6%,-31.6%,2,-71.4%,-81.8%,25,18,-1,99.1%,-2.8%,-0.4%
,January 2016,$300K,-1.3%,25.5%,16,0.0%,6.7%,11,-15.4%,0.0%,5,150.0%,-44.4%,25,0,-2,98.3%,-0.8%,-1.9%
,February 2016,$292K,-2.5%,15.8%,18,12.5%,38.5%,9,-18.2%,50.0%,4,-20.0%,-50.0%,25,0,-8,99.7%,1.4%,0.4%
,March 2016,$285K,-2.5%,12.6%,16,-11.1%,-5.9%,14,55.6%,55.6%,5,25.0%,-37.5%,10,-15,-23,102.3%,2.6%,0.1%
,April 2016,$299K,4.9%,12.2%,11,-31.3%,-31.3%,15,7.1%,25.0%,6,20.0%,-45.5%,8,-2,-39,104.1%,1.8%,2.8%
,May 2016,$310K,3.7%,43.5%,11,0.0%,-26.7%,21,40.0%,16.7%,6,0.0%,-45.5%,7,-1,-19,107.0%,2.9%,5.0%
,June 2016,$354K,14.2%,43.2%,13,18.2%,-27.8%,22,4.8%,10.0%,6,0.0%,-33.3%,7,0,-2,108.4%,1.3%,7.0%
,July 2016,$347K,-1.9%,33.6%,22,69.2%,4.8%,19,-13.6%,5.6%,6,0.0%,0.0%,7,-1,-2,104.2%,-4.2%,2.2%
,August 2016,$345K,-0.6%,22.3%,23,4.5%,4.5%,23,21.1%,21.1%,11,83.3%,37.5%,7,1,-7,102.6%,-1.5%,1.5%
,September 2016,$290K,-15.9%,-5.2%,17,-26.1%,0.0%,28,21.7%,64.7%,16,45.5%,128.6%,7,0,-2,101.7%,-0.9%,1.2%
,October 2016,$295K,1.7%,-2.5%,15,-11.8%,-6.3%,28,0.0%,27.3%,13,-18.8%,44.4%,8,1,-3,104.2%,2.5%,3.9%
,November 2016,$333K,12.9%,10.1%,14,-6.7%,0.0%,17,-39.3%,-10.5%,9,-30.8%,28.6%,11,3,4,102.2%,-2.0%,0.2%
,December 2016,$348K,4.5%,14.5%,23,64.3%,43.8%,9,-47.1%,-30.8%,7,-22.2%,250.0%,37,27,12,99.2%,-3.0%,0.1%
,January 2017,$377K,8.3%,25.7%,17,-26.1%,6.3%,7,-22.2%,-36.4%,7,0.0%,40.0%,52,15,27,97.7%,-1.4%,-0.6%
,February 2017,$402K,6.6%,37.4%,14,-17.6%,-22.2%,10,42.9%,11.1%,7,0.0%,75.0%,54,2,29,97.6%,-0.1%,-2.1%
,March 2017,$430K,7.0%,50.9%,9,-35.7%,-43.8%,14,40.0%,0.0%,4,-42.9%,-20.0%,93,39,83,103.3%,5.6%,0.9%
,April 2017,$400K,-7.0%,33.8%,17,88.9%,54.5%,16,14.3%,6.7%,4,0.0%,-33.3%,8,-85,0,108.4%,5.2%,4.3%
,May 2017,$395K,-1.3%,27.4%,20,17.6%,81.8%,20,25.0%,-4.8%,5,25.0%,-16.7%,7,-1,0,109.8%,1.4%,2.8%
,June 2017,$368K,-7.0%,3.8%,22,10.0%,69.2%,18,-10.0%,-18.2%,7,40.0%,16.7%,7,0,0,112.4%,2.6%,4.0%
,July 2017,$360K,-2.0%,3.7%,15,-31.8%,-31.8%,21,16.7%,10.5%,8,14.3%,33.3%,6,-1,-1,111.5%,-0.9%,7.4%
,August 2017,$383K,6.4%,11.0%,16,6.7%,-30.4%,17,-19.0%,-26.1%,6,-25.0%,-45.5%,8,2,1,110.0%,-1.5%,7.4%
,September 2017,$415K,8.4%,43.1%,13,-18.8%,-23.5%,20,17.6%,-28.6%,5,-16.7%,-68.8%,8,1,1,105.3%,-4.8%,3.6%
,October 2017,$421K,1.3%,42.5%,20,53.8%,33.3%,19,-5.0%,-32.1%,8,60.0%,-38.5%,8,0,0,104.2%,-1.1%,0.0%
,November 2017,$415K,-1.3%,24.6%,17,-15.0%,21.4%,20,5.3%,17.6%,5,-37.5%,-44.4%,8,-1,-3,104.5%,0.3%,2.3%
,December 2017,$414K,-0.2%,19.0%,23,35.3%,0.0%,13,-35.0%,44.4%,5,0.0%,-28.6%,9,1,-29,102.4%,-2.0%,3.2%
,January 2018,$387K,-6.5%,2.7%,14,-39.1%,-17.6%,12,-7.7%,71.4%,4,-20.0%,-42.9%,9,1,-43,101.8%,-0.6%,4.1%
,February 2018,$395K,2.1%,-1.6%,16,14.3%,14.3%,9,-25.0%,-10.0%,3,-25.0%,-57.1%,10,1,-45,101.4%,-0.4%,3.8%
,March 2018,$421K,6.6%,-2.0%,14,-12.5%,55.6%,13,44.4%,-7.1%,1,-66.7%,-75.0%,10,1,-83,104.1%,2.7%,0.8%
,April 2018,$470K,11.6%,17.5%,16,14.3%,-5.9%,18,38.5%,12.5%,5,400.0%,25.0%,7,-3,-1,106.8%,2.7%,-1.6%
,May 2018,$441K,-6.3%,11.5%,16,0.0%,-20.0%,28,55.6%,40.0%,7,40.0%,40.0%,7,-1,-1,107.7%,0.8%,-2.1%
,June 2018,$432K,-1.9%,17.6%,15,-6.3%,-31.8%,31,10.7%,72.2%,9,28.6%,28.6%,7,1,0,108.1%,0.4%,-4.3%
,July 2018,$426K,-1.4%,18.3%,20,33.3%,33.3%,31,0.0%,47.6%,15,66.7%,87.5%,8,1,2,106.9%,-1.2%,-4.6%
,August 2018,$420K,-1.4%,9.7%,21,5.0%,31.3%,24,-22.6%,41.2%,13,-13.3%,116.7%,8,1,1,108.0%,1.0%,-2.1%
,September 2018,$416K,-0.9%,0.3%,16,-23.8%,23.1%,23,-4.2%,15.0%,16,23.1%,220.0%,8,0,0,108.9%,0.9%,3.6%
,October 2018,$425K,2.1%,1.1%,13,-18.8%,-35.0%,19,-17.4%,0.0%,16,0.0%,100.0%,20,12,12,103.1%,-5.8%,-1.1%
,November 2018,$425K,0.0%,2.4%,11,-15.4%,-35.3%,20,5.3%,0.0%,12,-25.0%,140.0%,40,20,33,97.1%,-5.9%,-7.3%
,December 2018,$425K,0.0%,2.7%,17,54.5%,-26.1%,13,-35.0%,0.0%,4,-66.7%,-20.0%,20,-20,12,98.4%,1.2%,-4.1%
,January 2019,$425K,0.0%,9.7%,19,11.8%,35.7%,9,-30.8%,-25.0%,2,-50.0%,-50.0%,67,47,58,99.4%,1.1%,-2.4%
,February 2019,$428K,0.6%,8.2%,16,-15.8%,0.0%,8,-11.1%,-11.1%,4,100.0%,33.3%,61,-7,51,99.1%,-0.3%,-2.2%
,March 2019,$465K,8.8%,10.4%,14,-12.5%,0.0%,12,50.0%,-7.7%,3,-25.0%,200.0%,66,5,56,100.0%,0.8%,-4.1%
,April 2019,$540K,16.1%,14.9%,11,-21.4%,-31.3%,16,33.3%,-11.1%,7,133.3%,40.0%,16,-50,9,101.7%,1.7%,-5.1%
,May 2019,$485K,-10.2%,10.1%,10,-9.1%,-37.5%,12,-25.0%,-57.1%,5,-28.6%,-28.6%,17,1,10,102.0%,0.3%,-5.6%
,June 2019,$550K,13.4%,27.3%,7,-30.0%,-53.3%,13,8.3%,-58.1%,4,-20.0%,-55.6%,10,-7,3,100.6%,-1.4%,-7.5%
,July 2019,$435K,-20.9%,2.1%,11,57.1%,-45.0%,9,-30.8%,-71.0%,3,-25.0%,-80.0%,10,0,3,101.7%,1.1%,-5.2%
,August 2019,$432K,-0.8%,2.8%,14,27.3%,-33.3%,10,11.1%,-58.3%,4,33.3%,-69.2%,29,19,21,99.2%,-2.4%,-8.7%
,September 2019,$397K,-8.1%,-4.7%,12,-14.3%,-25.0%,13,30.0%,-43.5%,10,150.0%,-37.5%,33,4,25,99.1%,-0.2%,-9.8%
,October 2019,$425K,7.0%,-0.1%,7,-41.7%,-46.2%,19,46.2%,0.0%,9,-10.0%,-43.8%,26,-7,6,95.4%,-3.7%,-7.7%
,November 2019,$465K,9.5%,9.4%,10,42.9%,-9.1%,20,5.3%,0.0%,10,11.1%,-16.7%,18,-8,-22,100.3%,4.9%,3.1%
,December 2019,$435K,-6.5%,2.4%,14,40.0%,-17.6%,14,-30.0%,7.7%,3,-70.0%,-25.0%,22,4,2,99.9%,-0.3%,1.6%
,January 2020,$460K,5.7%,8.2%,17,21.4%,-10.5%,9,-35.7%,0.0%,2,-33.3%,0.0%,27,6,-40,102.2%,2.2%,2.7%
,February 2020,$455K,-1.1%,6.4%,12,-29.4%,-25.0%,9,0.0%,12.5%,2,0.0%,-50.0%,29,2,-32,102.6%,0.4%,3.5%
,March 2020,$539K,18.4%,15.8%,12,0.0%,-14.3%,17,88.9%,41.7%,8,300.0%,166.7%,18,-11,-48,103.0%,0.4%,3.1%
,April 2020,$500K,-7.1%,-7.4%,9,-25.0%,-18.2%,19,11.8%,18.8%,8,0.0%,14.3%,10,-8,-6,98.4%,-4.6%,-3.3%
,May 2020,$475K,-5.1%,-2.2%,12,33.3%,20.0%,22,15.8%,83.3%,3,-62.5%,-40.0%,10,-1,-7,98.2%,-0.3%,-3.9%
,June 2020,$449K,-5.4%,-18.4%,19,58.3%,171.4%,16,-27.3%,23.1%,3,0.0%,-25.0%,12,2,2,99.5%,1.3%,-1.1%
,July 2020,$461K,2.7%,6.0%,20,5.3%,81.8%,16,0.0%,77.8%,,,,11,-1,1,100.8%,1.4%,-0.8%
,August 2020,$473K,2.5%,9.5%,22,10.0%,57.1%,14,-12.5%,40.0%,1,,-75.0%,8,-4,-21,102.3%,1.5%,3.1%
,September 2020,$545K,15.3%,37.4%,12,-45.5%,0.0%,14,0.0%,7.7%,2,100.0%,-80.0%,5,-3,-28,104.6%,2.2%,5.5%
,October 2020,$600K,10.1%,41.3%,13,8.3%,85.7%,16,14.3%,-15.8%,5,150.0%,-44.4%,6,1,-20,105.6%,1.0%,10.2%
"Seattle, WA - Ravenna",February 2012,$440K,0.6%,-4.5%,30,-23.1%,57.9%,21,5.0%,23.5%,12,9.1%,-40.0%,16,-3,-52,98.8%,0.6%,2.0%
,March 2012,$447K,1.7%,0.5%,24,-20.0%,14.3%,34,61.9%,36.0%,9,-25.0%,-40.0%,6,-10,-65,99.4%,0.6%,1.1%
,April 2012,$480K,7.4%,1.1%,37,54.2%,15.6%,42,23.5%,-2.3%,13,44.4%,-35.0%,7,1,-21,100.0%,0.6%,1.7%
,May 2012,$502K,4.6%,10.3%,39,5.4%,-2.5%,45,7.1%,-16.7%,15,15.4%,-48.3%,7,0,-6,101.4%,1.3%,2.8%
,June 2012,$502K,0.0%,10.3%,41,5.1%,-4.7%,54,20.0%,-10.0%,20,33.3%,-35.5%,10,3,-4,101.1%,-0.3%,2.6%
,July 2012,$457K,-9.1%,0.3%,40,-2.4%,11.1%,47,-13.0%,-23.0%,18,-10.0%,-57.1%,8,-3,-7,101.5%,0.4%,2.6%
,August 2012,$443K,-3.1%,-4.8%,40,0.0%,21.2%,52,10.6%,-5.5%,18,0.0%,-47.1%,9,1,-8,100.4%,-1.1%,1.6%
,September 2012,$445K,0.6%,-4.3%,41,2.5%,10.8%,47,-9.6%,-11.3%,20,11.1%,-28.6%,8,-1,-14,101.1%,0.7%,3.1%
,October 2012,$449K,0.8%,-12.0%,36,-12.2%,0.0%,53,12.8%,17.8%,21,5.0%,-30.0%,9,1,-15,100.6%,-0.5%,3.1%
,November 2012,$493K,9.9%,0.4%,41,13.9%,-2.4%,41,-22.6%,0.0%,10,-52.4%,-50.0%,11,3,-16,99.8%,-0.8%,2.8%
,December 2012,$498K,1.0%,1.5%,41,0.0%,-2.4%,32,-22.0%,14.3%,9,-10.0%,-35.7%,11,0,-14,99.8%,-0.1%,1.7%
,January 2013,$498K,0.0%,14.0%,39,-4.9%,0.0%,29,-9.4%,45.0%,14,55.6%,27.3%,17,6,-1,99.9%,0.1%,1.8%
,February 2013,$477K,-4.3%,8.4%,30,-23.1%,0.0%,30,3.4%,42.9%,5,-64.3%,-58.3%,19,2,4,100.7%,0.8%,1.9%
,March 2013,$478K,0.3%,6.9%,30,0.0%,25.0%,35,16.7%,2.9%,8,60.0%,-11.1%,18,-1,12,100.3%,-0.4%,0.9%
,April 2013,$479K,0.2%,-0.2%,36,20.0%,-2.7%,41,17.1%,-2.4%,7,-12.5%,-46.2%,8,-10,1,100.7%,0.4%,0.7%
,May 2013,$525K,9.6%,4.6%,49,36.1%,25.6%,53,29.3%,17.8%,10,42.9%,-33.3%,7,-1,0,102.2%,1.5%,0.9%
,June 2013,$525K,0.0%,4.6%,51,4.1%,24.4%,59,11.3%,9.3%,18,80.0%,-10.0%,7,0,-3,104.2%,1.9%,3.1%
,July 2013,$570K,8.6%,24.9%,44,-13.7%,10.0%,61,3.4%,29.8%,18,0.0%,0.0%,7,0,-1,105.5%,1.3%,4.0%
,August 2013,$575K,0.9%,29.9%,46,4.5%,15.0%,57,-6.6%,9.6%,13,-27.8%,-27.8%,8,1,-1,104.4%,-1.1%,4.0%
,September 2013,$575K,0.0%,29.2%,49,6.5%,19.5%,48,-15.8%,2.1%,12,-7.7%,-40.0%,8,1,0,102.2%,-2.2%,1.1%
,October 2013,$528K,-8.1%,17.7%,54,10.2%,50.0%,39,-18.8%,-26.4%,8,-33.3%,-61.9%,8,0,-1,101.4%,-0.8%,0.8%
,November 2013,$521K,-1.4%,5.7%,44,-18.5%,7.3%,31,-20.5%,-24.4%,7,-12.5%,-30.0%,10,2,-1,101.1%,-0.3%,1.2%
,December 2013,$508K,-2.6%,1.9%,32,-27.3%,-22.0%,24,-22.6%,-25.0%,8,14.3%,-11.1%,10,0,-1,100.4%,-0.7%,0.6%
,January 2014,$520K,2.5%,4.4%,24,-25.0%,-38.5%,19,-20.8%,-34.5%,5,-37.5%,-64.3%,10,0,-7,100.8%,0.4%,0.9%
,February 2014,$553K,6.3%,16.0%,20,-16.7%,-33.3%,19,0.0%,-36.7%,4,-20.0%,-20.0%,13,3,-7,100.2%,-0.6%,-0.5%
,March 2014,$636K,15.0%,33.0%,22,10.0%,-26.7%,24,26.3%,-31.4%,5,25.0%,-37.5%,7,-6,-11,103.5%,3.4%,3.3%
,April 2014,$582K,-8.5%,21.5%,22,0.0%,-38.9%,30,25.0%,-26.8%,8,60.0%,14.3%,8,1,0,104.3%,0.8%,3.6%
,May 2014,$573K,-1.5%,9.1%,29,31.8%,-40.8%,46,53.3%,-13.2%,11,37.5%,10.0%,7,-1,0,107.2%,2.9%,5.0%
,June 2014,$561K,-2.1%,6.9%,38,31.0%,-25.5%,45,-2.2%,-23.7%,9,-18.2%,-50.0%,7,0,0,106.1%,-1.2%,1.9%
,July 2014,$624K,11.3%,9.5%,44,15.8%,0.0%,54,20.0%,-11.5%,16,77.8%,-11.1%,7,0,0,105.2%,-0.8%,-0.3%
,August 2014,$643K,2.9%,11.7%,46,4.5%,0.0%,51,-5.6%,-10.5%,19,18.8%,46.2%,7,0,-1,104.5%,-0.8%,0.1%
,September 2014,$613K,-4.6%,6.6%,39,-15.2%,-20.4%,56,9.8%,16.7%,16,-15.8%,33.3%,7,0,-1,103.5%,-1.0%,1.3%
,October 2014,$554K,-9.7%,4.8%,42,7.7%,-22.2%,48,-14.3%,23.1%,15,-6.3%,87.5%,11,4,3,102.8%,-0.7%,1.4%
,November 2014,$574K,3.6%,10.1%,40,-4.8%,-9.1%,33,-31.3%,6.5%,10,-33.3%,42.9%,11,1,1,100.9%,-1.9%,-0.2%
,December 2014,$638K,11.2%,25.7%,37,-7.5%,15.6%,20,-39.4%,-16.7%,5,-50.0%,-37.5%,12,1,2,100.6%,-0.4%,0.2%
,January 2015,$638K,0.0%,22.7%,29,-21.6%,20.8%,18,-10.0%,-5.3%,7,40.0%,40.0%,11,-1,1,100.8%,0.2%,0.0%
,February 2015,$650K,1.9%,17.6%,21,-27.6%,5.0%,29,61.1%,52.6%,6,-14.3%,50.0%,15,4,3,102.7%,1.9%,2.5%
,March 2015,$649K,-0.1%,2.2%,36,71.4%,63.6%,50,72.4%,108.3%,10,66.7%,100.0%,7,-8,0,107.9%,5.2%,4.3%
,April 2015,$649K,0.0%,11.6%,48,33.3%,118.2%,54,8.0%,80.0%,5,-50.0%,-37.5%,7,0,-1,108.6%,0.7%,4.3%
,May 2015,$630K,-3.0%,9.9%,53,10.4%,82.8%,50,-7.4%,8.7%,5,0.0%,-54.5%,7,0,0,109.2%,0.6%,2.0%
,June 2015,$600K,-4.8%,7.0%,47,-11.3%,23.7%,47,-6.0%,4.4%,7,40.0%,-22.2%,7,0,0,109.4%,0.2%,3.3%
,July 2015,$590K,-1.8%,-5.6%,44,-6.4%,0.0%,50,6.4%,-7.4%,9,28.6%,-43.8%,6,-1,-1,109.1%,-0.3%,3.8%
,August 2015,$590K,0.1%,-8.2%,49,11.4%,6.5%,57,14.0%,11.8%,11,22.2%,-42.1%,6,0,-1,107.4%,-1.7%,2.9%
,September 2015,$625K,5.9%,1.9%,45,-8.2%,15.4%,52,-8.8%,-7.1%,10,-9.1%,-37.5%,7,1,0,105.9%,-1.5%,2.4%
,October 2015,$660K,5.6%,19.2%,44,-2.2%,4.8%,45,-13.5%,-6.3%,11,10.0%,-26.7%,7,0,-4,104.6%,-1.3%,1.8%
,November 2015,$666K,0.9%,16.1%,35,-20.5%,-12.5%,34,-24.4%,3.0%,6,-45.5%,-40.0%,8,1,-3,105.7%,1.1%,4.8%
,December 2015,$700K,5.1%,9.8%,36,2.9%,-2.7%,25,-26.5%,25.0%,5,-16.7%,0.0%,9,1,-3,103.9%,-1.8%,3.4%
,January 2016,$820K,17.1%,28.6%,27,-25.0%,-6.9%,30,20.0%,66.7%,5,0.0%,-28.6%,9,0,-2,103.7%,-0.2%,2.9%
,February 2016,$850K,3.7%,30.8%,37,37.0%,76.2%,36,20.0%,24.1%,11,120.0%,83.3%,8,-1,-7,103.8%,0.1%,1.1%
,March 2016,$903K,6.2%,39.0%,36,-2.7%,0.0%,48,33.3%,-4.0%,11,0.0%,10.0%,7,-1,0,105.2%,1.5%,-2.6%
,April 2016,$725K,-19.7%,11.6%,39,8.3%,-18.8%,50,4.2%,-7.4%,16,45.5%,220.0%,7,0,0,105.7%,0.5%,-2.9%
,May 2016,$795K,9.7%,26.2%,39,0.0%,-26.4%,48,-4.0%,-4.0%,6,-62.5%,20.0%,7,0,0,107.7%,2.0%,-1.6%
,June 2016,$708K,-11.0%,17.9%,49,25.6%,4.3%,48,0.0%,2.1%,6,0.0%,-14.3%,8,1,1,106.8%,-0.9%,-2.6%
,July 2016,$706K,-0.2%,19.8%,54,10.2%,22.7%,44,-8.3%,-12.0%,9,50.0%,0.0%,7,-1,1,108.0%,1.2%,-1.1%
,August 2016,$704K,-0.3%,19.3%,52,-3.7%,6.1%,48,9.1%,-15.8%,6,-33.3%,-45.5%,8,1,2,106.7%,-1.3%,-0.6%
,September 2016,$725K,3.0%,16.0%,42,-19.2%,-6.7%,54,12.5%,3.8%,10,66.7%,0.0%,8,0,1,108.3%,1.6%,2.4%
,October 2016,$700K,-3.4%,6.1%,49,16.7%,11.4%,56,3.7%,24.4%,15,50.0%,36.4%,8,0,1,106.9%,-1.4%,2.3%
,November 2016,$700K,0.0%,5.1%,39,-20.4%,11.4%,46,-17.9%,35.3%,12,-20.0%,100.0%,8,0,0,106.1%,-0.8%,0.4%
,December 2016,$799K,14.1%,14.1%,39,0.0%,8.3%,26,-43.5%,4.0%,7,-41.7%,40.0%,8,0,-1,104.6%,-1.5%,0.7%
,January 2017,$880K,10.1%,7.3%,27,-30.8%,0.0%,18,-30.8%,-40.0%,4,-42.9%,-20.0%,19,11,10,102.9%,-1.8%,-0.8%
,February 2017,$857K,-2.6%,0.8%,30,11.1%,-18.9%,30,66.7%,-16.7%,8,100.0%,-27.3%,13,-7,5,104.3%,1.4%,0.5%
,March 2017,$825K,-3.7%,-8.6%,37,23.3%,2.8%,51,70.0%,6.3%,11,37.5%,0.0%,9,-4,2,106.7%,2.5%,1.5%
,April 2017,$826K,0.1%,13.9%,50,35.1%,28.2%,66,29.4%,32.0%,9,-18.2%,-43.8%,8,-1,1,107.2%,0.5%,1.5%
,May 2017,$828K,0.3%,4.1%,61,22.0%,56.4%,80,21.2%,66.7%,11,22.2%,83.3%,7,-1,0,108.6%,1.4%,0.9%
,June 2017,$838K,1.1%,18.4%,68,11.5%,38.8%,75,-6.3%,56.3%,11,0.0%,83.3%,7,0,-1,109.8%,1.2%,3.0%
,July 2017,$844K,0.7%,19.4%,64,-5.9%,18.5%,71,-5.3%,61.4%,13,18.2%,44.4%,7,0,0,110.1%,0.3%,2.1%
,August 2017,$869K,3.0%,23.4%,62,-3.1%,19.2%,61,-14.1%,27.1%,18,38.5%,200.0%,7,0,-1,108.1%,-2.0%,1.4%
,September 2017,$825K,-5.1%,13.8%,50,-19.4%,19.0%,56,-8.2%,3.7%,19,5.6%,90.0%,8,1,0,106.6%,-1.6%,-1.7%
,October 2017,$803K,-2.7%,14.7%,42,-16.0%,-14.3%,50,-10.7%,-10.7%,13,-31.6%,-13.3%,8,0,0,106.5%,-0.1%,-0.4%
,November 2017,$850K,5.8%,21.4%,55,31.0%,41.0%,40,-20.0%,-13.0%,13,0.0%,8.3%,8,0,0,104.7%,-1.8%,-1.4%
,December 2017,$830K,-2.4%,3.9%,55,0.0%,41.0%,34,-15.0%,30.8%,10,-23.1%,42.9%,9,1,1,102.5%,-2.2%,-2.1%
,January 2018,$871K,4.9%,-1.0%,54,-1.8%,100.0%,35,2.9%,94.4%,14,40.0%,250.0%,9,0,-10,103.2%,0.7%,0.4%
,February 2018,$865K,-0.7%,0.9%,35,-35.2%,16.7%,29,-17.1%,-3.3%,10,-28.6%,25.0%,8,-1,-5,105.5%,2.2%,1.2%
,March 2018,$881K,1.8%,6.8%,31,-11.4%,-16.2%,31,6.9%,-39.2%,10,0.0%,-9.1%,7,-1,-2,108.6%,3.1%,1.9%
,April 2018,$880K,-0.1%,6.5%,31,0.0%,-38.0%,30,-3.2%,-54.5%,12,20.0%,33.3%,7,0,-1,109.8%,1.3%,2.7%
,May 2018,$948K,7.7%,14.4%,30,-3.2%,-50.8%,45,50.0%,-43.8%,15,25.0%,36.4%,7,0,0,111.3%,1.5%,2.8%
,June 2018,$930K,-1.8%,11.0%,37,23.3%,-45.6%,55,22.2%,-26.7%,18,20.0%,63.6%,7,0,0,111.4%,0.1%,1.6%
,July 2018,$930K,0.0%,10.3%,42,13.5%,-34.4%,54,-1.8%,-23.9%,19,5.6%,46.2%,7,0,0,108.5%,-2.9%,-1.6%
,August 2018,$930K,0.0%,7.0%,45,7.1%,-27.4%,50,-7.4%,-18.0%,21,10.5%,16.7%,7,0,0,105.2%,-3.3%,-2.9%
,September 2018,$850K,-8.6%,3.0%,37,-17.8%,-26.0%,54,8.0%,-3.6%,31,47.6%,63.2%,8,1,0,101.1%,-4.1%,-5.5%
,October 2018,$823K,-3.2%,2.4%,40,8.1%,-4.8%,55,1.9%,10.0%,23,-25.8%,76.9%,11,3,3,99.1%,-2.0%,-7.4%
